Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Runtime (min),Overseas ($mill)
Friday,Rupert Sanders,action,Snow White and the Huntsman,1/6/2012,Universal,410.8,170,396.6,6.1,2.99,127,241.3
Thursday,Joseph McGinty Nichol,action,Terminator Salvation,21/05/2009,WB,411.7,200,371.4,6.7,3.27,115,246
Friday,Rob Reiner,thriller,A Few Good Men,11/12/1992,Colombia Pictures,412.2,33,243.2,7.6,3.81,138,101.9
Friday,"Kevin Reynolds, Kevin Costner",action,Waterworld,28/07/1995,Universal,412.3,175,264.2,6.1,2.86,136,176
Friday,Ivan Reitman,action,Ghostbusters II,16/06/1989,Colombia Pictures,413.1,37,215.4,6.5,2.98,108,102.9
Friday,Gavin Hood,action,X-Men Origins: Wolverine,1/5/2009,Fox,413.6,150,373.1,6.7,3.33,107,193.2
Friday,Tim Hill,animation,Alvin and the Chipmunks,14/12/2007,Fox,414.5,55,361.3,5.3,2.54,92,144
Friday,Cameron Crowe,comedy,Jerry Maguire,13/12/1996,Sony,414.7,50,273.6,7.3,3.63,139,119.6
Friday,Tom Shadyac,comedy,The Nutty Professor,28/06/1996,Universal,415.3,55,274,5.5,2.91,95,145.1
Wednesday,Jay Roach,comedy,Meet the Parents,22/12/2004,Universal,415.9,60,330.4,7,3.46,115,164.2
Friday,Richard Donner,action,Lethal Weapon 4,10/7/1998,WB,416.4,140,285.4,6.6,3.12,127,155
Wednesday,"Danny Boyle, Loveleen Tandan",drama,Slumdog Millionaire,12/11/2008,Fox Searchlight Pictures,417.4,14,377.9,8,3.96,120,236.6
Friday,Ridley Scott,adventure,Prometheus,8/6/2012,Fox,417.8,125,403.4,7,3.43,124,276.9
Friday,Guillermo del Toro,action,Pacific Rim,12/7/2013,WB,419.6,190,411,6.1,2.78,131,309.2
Friday,Renny Harlin,action,Cliffhanger,28/05/1993,TriStar,419.7,65,255,6.4,3.07,113,171
Friday,Ron Howard,biography,A Beautiful Mind,21/12/2001,Universal,421,78,313.5,8.2,3.93,135,142.8
Friday,John Madden,comedy,Shakespeare in Love,11/12/1998,MiraMax,422.1,26,289.3,7.2,3.84,123,189
Friday,"Conrad Vernon, Rob Letterman",animation,Monsters Vs. Aliens,27/03/2009,Pacific Data/DreamWorks,422.9,175,381.5,6.6,3.29,94,183.2
Wednesday,"Carlos Saldanha, Michael Thurmeier",animation,Ice Age,1/7/2009,Fox,424.9,90,383.3,7.6,3.61,94,206.9
Saturday,Chris Weitz,adventure,The Golden Compass,1/12/2007,New Line Cinema,427,205,372.2,6.1,3.18,113,302.1
Friday,Joe Johnston,adventure,"Honey, I Shrunk the Kids",23/06/1989,Buena Vista Studios,427.1,18,222.7,6.2,2.69,93,92
Friday,J. J. Abrams,sci-fi,Star Trek,8/5/2009,Paramount Pictures,427.5,140,385.7,8,3.97,127,128
Friday,Rob Minkoff,adventure,Stuart Little,17/12/1999,Sony,428.4,133,300.1,5.9,2.91,84,160.1
Friday,Catherine Hardwicke,drama,Twilight,21/11/2008,Summit Entertainment,433.6,37,392.6,5.2,2.76,122,199.8
Friday,Ivan Reitman,comedy,Twins,9/12/1988,Universal,435.4,15,216.6,5.9,2.82,105,104.7
Friday,Joseph Kosinski,action,Tron Legacy,17/12/2010,Buena Vista Studios,436.3,200,400.1,6.8,3.38,125,228
Wednesday,Renny Harlin,action,Die Hard 2: Die Harder,4/7/1990,Fox,436.7,70,240,7.1,3.42,124,122.5
Friday,Richard Donner,action,Lethal Weapon 2,7/7/1989,WB,437.1,25,227.9,7.2,3.29,114,80.6
Friday,Alex Proyas,sci-fi,"I, Robot",16/07/2004,Fox,437.1,105,347.2,7.1,3.46,115,202.4
Friday,Jon Turteltaub,adventure,National Treasure,19/11/2004,Buena Vista Studios,437.5,100,347.5,6.9,3.42,131,174.5
Wednesday,Adrian Lyne,drama,Indecent Proposal,7/4/1993,Paramount Pictures,438.7,38,266.6,5.8,2.85,117,160
Wednesday,Len Wiseman,action,Live Free or Die Hard,27/06/2007,Fox,439.9,110,383.5,7.2,3.58,128,249
Tuesday,Quentin Tarantino,adventure,Django Unchained,25/12/2012,Weinstein Company,440.6,100,425.4,8.5,4.04,165,262.6
Friday,Brad Peyton,action,San Andreas,29/05/2015,WB,441.2,110,441.2,6.6,2.84,114,299.2
Friday,Garry Marshall,comedy,Runaway Bride,30/07/1999,Paramount Pictures,441.8,70,309.5,6.6,3.46,116,157.2
Friday,Rob Cohen,action,The Mummy: Tomb of the Dragon Emperor,1/8/2008,Universal,443,175,401.1,5.2,2.63,112,298.6
Friday,P. J. Hogan,comedy,My Best Friend's Wedding,20/06/1997,Sony,443.5,46,299.3,7.1,3.33,105,172.2
Friday,"Barry Cook, Tony Bancroft",animation,Mulan,19/06/1998,Buena Vista Studios,444,90,304.3,7.5,2.84,88,183.7
Wednesday,Sydney Pollack,thriller,The Firm,30/06/1993,Paramount Pictures,444.7,42,270.2,6.8,3.5,154,111.9
Thursday,Robert Zemeckis,action,Back to the Future Part III,24/05/1990,Universal,444.9,40,244.5,7.4,3.24,118,156.8
Thursday,Jay Roach,comedy,Austin Powers: The Spy Who Shagged Me,10/6/1999,New Line Cinema,445.3,35,312,6.6,3.21,95,106
Friday,Emile Ardolino,drama,Dirty Dancing,21/08/1987,Vestron Pictures,448,6,214,6.8,3.22,100,150
Friday,Andy Tennant,comedy,Hitch,11/2/2005,Sony,448.2,55,368.1,8.2,3.94,118,188.6
Friday,Tom Shadyac,comedy,Liar Liar,21/03/1997,Universal,448.5,45,302.7,6.8,3.21,86,121.3
Friday,"Brad Silberling, Phil Nibbelink",comedy,Casper,26/05/1995,Universal,449.2,55,287.9,6,2.9,100,187.6
Wednesday,"Olivier Nakache, Eric Toledano",drama,The Intouchables,2/11/2011,Weinstein Company,451,10,426.6,8.6,4.14,112,416.4
Friday,Tom Hooper,biography,The King's Speech,26/11/2010,Weinstein Company,451.7,15,414.2,8.1,4.02,118,275.4
Friday,Tim Burton,action,Batman Returns,19/06/1992,WB,452.2,80,266.8,7,3.09,126,104
Friday,Peter Weir,drama,Dead Poets Society,2/6/1989,Buena Vista Studios,452.4,16.4,235.9,8,3.89,128,140
Friday,"George Miller, Warren Coleman, Judy Morris",animation,Happy Feet,17/11/2006,WB,453.3,85,384.3,6.5,3.13,108,186.3
Friday,Michael Apted,adventure,The Chronicles of Narnia: The Voyage of the Dawn Treader,10/12/2010,Fox,453.3,155,415.7,6.4,3.36,113,311.3
Friday,Wolfgang Petersen,action,The Perfect Storm,30/06/2000,WB,453.9,120,328.7,6.4,3.08,130,146.1
Wednesday,Christopher Nolan,action,Batman Begins,15/06/2005,WB,455.6,150,374.2,8.3,3.97,140,167.4
Friday,Steven Soderbergh,thriller,Ocean's Twelve,10/12/2004,WB,456.6,85,362.7,6.4,3.25,125,237.2
Tuesday,Tom Hooper,drama,Les Miserables (2012),25/12/2012,Universal,457.6,61,441.8,6,2.92,158,293
Friday,Shawn Levy,comedy,Night at the Museum: Battle of the Smithsonian,22/05/2009,Fox,457.9,150,413.1,5.9,3.01,104,235.9
Friday,Michael Patrick King,comedy,Sex and the City,30/05/2008,WB/New Line,458.7,57.5,415.3,6.9,2.93,145,262.6
Friday,Gavin Hood,action,The Wolverine,1/5/2009,Fox,459.8,150,414.8,6.7,3.24,107,282.3
Friday,Luc Besson,action,Lucy,25/07/2014,Universal,461,40,458.9,6.4,3.05,89,332.2
Wednesday,Bryan Singer,action,Superman Returns,28/06/2006,WB,461.3,232,391.1,6.1,3.12,154,191
Friday,"Bibo Bergeron, Rob Letterman, Vicky Jenson",animation,Shark Tale,1/10/2004,DreamWorks,462.4,75,367.3,6,2.91,90,206.4
Friday,Andrew Adamson,action,The Chronicles of Narnia: Prince Caspian,16/05/2008,Buena Vista Studios,463.6,225,419.7,6.6,3.31,150,278
Wednesday,Steven Spielberg,biography,Catch Me If You Can,25/12/2002,DreamWorks,465.4,52,352.1,8,3.85,141,187.5
Wednesday,James L. Brooks,comedy,As Good as It Gets,24/12/1997,Sony,465.5,50,314.2,7.8,3.79,139,165.7
Friday,Brett Ratner,comedy,Rush Hour 2,3/8/2001,New Line Cinema,466.3,90,347.3,6.6,3.23,90,121.2
Friday,Wolfgang Petersen,action,Air Force One,25/07/1997,Sony,467,85,315.2,6.4,3.33,124,142.2
Friday,Ron Howard,thriller,Ransom,8/11/1996,Buena Vista Studios,469.1,70,309.5,5.4,2.88,121,173
Friday,J. J. Abrams,action,Mission: Impossible III,5/5/2006,Paramount Pictures,469.4,150,397.9,6.8,3.31,126,263.8
Friday,"Phil Lord, Chris Miller",animation,The LEGO Movie,7/2/2014,WB,470.9,60,468.8,7.8,3.75,100,211
Friday,Ridley Scott,thriller,Hannibal,9/2/2001,MGM,472.3,87,351.7,8.7,3.15,131,186.6
Friday,Steven Spielberg,sci-fi,Minority Report,21/06/2002,Fox,473.8,102,358.4,7.7,3.66,145,226.3
Friday,Kenneth Branagh,action,Thor,6/5/2011,Paramount Pictures,475,150,449.3,7,3.51,115,268.3
Friday,Paul Verhoeven,action,Total Recall,1/6/1990,Sony,475.4,65,261.3,7.5,3.18,113,141.9
Thursday,Jonathan Demme,thriller,The Silence of the Lambs,14/02/1991,Orion,476.1,20,272.7,8.6,4.18,118,142
Friday,Ron Howard,comedy,How the Grinch Stole Christmas,17/11/2000,Universal,476.6,123,345.1,6,2.91,104,85.1
Wednesday,J. J. Abrams,action,Star Trek Into Darkness,15/05/2013,Paramount Pictures,477.1,190,467.4,7.8,3.82,132,238.6
Wednesday,"John Cornell, Mark Turnbull",action,Crocodile Dundee II,25/05/1988,Paramount Pictures,481.6,14,239.6,5.5,2.57,108,130.3
Friday,"Eric Leighton, Ralph Zondag",animation,Dinosaur,19/05/2000,Buena Vista Studios,483.1,127.5,349.8,6.4,3.12,82,212.1
Wednesday,Stephen Herek,animation,101 Dalmatians (1996),27/11/1996,Buena Vista Studios,486.1,75,320.7,5.6,3.1,103,184.5
Friday,Tim Burton,action,Planet of the Apes (2001),27/07/2001,Fox,486.4,100,362.2,5.7,2.74,119,182.2
Friday,Jonathan Liebesman,action,Teenage Mutant Ninja Turtles (2014),8/8/2014,Paramount Pictures,487.2,125,485,7.9,3.84,101,293.8
Friday,Joel Zwick,comedy,My Big Fat Greek Wedding,19/04/2002,IFC,487.4,5,368.7,6.6,3.46,95,127.3
Friday,Rob Cohen,action,Fast and Furious,22/06/2001,Universal,487.7,38,363.2,6.7,2.88,106,208.1
Friday,Rich Moore,animation,Wreck-It Ralph,2/11/2012,Buena Vista Studios,488.1,165,471.2,7.8,3.82,101,281.8
Wednesday,Betty Thomas,animation,Alvin and the Chipmunks: The Squeakquel,23/12/2009,Fox,491.2,70,443.1,4.4,2.13,88,223.5
Friday,"Gary Trousdale, Kirk Wise",animation,The Hunchback of Notre Dame,21/06/1996,Buena Vista Studios,493,100,325.3,6.8,3.3,91,225.2
