,Overseas ($mill)
259,0.03741290518024841
260,0.04624861153185904
261,0.07820862364939918
262,0.04826820155508432
263,0.038978087448248
264,0.09562758759971726
265,0.08371200646268807
266,0.07735029788952842
267,0.06846410178733717
268,0.07421993335352924
269,0.018378269211350093
270,0.022770877511865094
271,0.07376552559830354
272,0.12597192769867716
273,0.06770675552862769
274,0.07250328183378775
275,0.03695849742502272
276,0.11521761082500255
277,0.04498636776734323
278,0.06513177824901546
279,0.11541956982732506
280,0.026709078057154396
281,0.045036857517923856
282,0.0465010602847622
283,0.05205493284863173
284,0.05826517217004949
285,0.09815207512874888
286,0.10052509340603857
287,0.02776936281934768
288,0.06518226799959609
289,0.028274260325153996
290,0.07386650509946481
291,0.0490255478137938
292,0.03670604867211956
293,0.04958093507018076
294,0.05922447743108149
295,0.054579420377663335
296,0.09577905685145915
297,0.1161264263354539
298,0.1324346157729981
299,0.06265778047056447
300,0.04841967080682623
301,0.07174593557507826
302,0.06881753004140159
303,0.08078360092901142
304,0.1288498434817732
305,0.022770877511865094
306,0.04094718772089266
307,0.05715439765727558
308,0.07719882863778654
309,0.029183075835605372
310,0.0914369383015248
311,0.03817025143895789
312,0.017015045945673025
313,0.07851156215288298
314,0.0644249217408866
315,0.05710390790669494
316,0.10203978592345754
317,0.10890639200242351
318,0.12738564071493486
319,0.055690194890437236
320,0.12708270221145107
321,0.06326365747753206
322,0.06906997879430475
323,0.03281833787741089
324,0.05548823588811472
325,0.02983944259315359
326,0.05205493284863173
327,0.07154397657275573
328,0.03756437443199031
329,0.07103907906694941
330,0.18655962839543572
331,0.11536908007674442
332,0.028829647581540947
333,0.047005957790568514
334,0.0703827123094012
335,0.13349490053519136
336,0.050085832575987074
337,0.06084014944966172
338,0.09608199535494294
339,0.12425527617893568
340,0.09542562859739473
341,0.10890639200242351
342,0.11885287286680805
343,0.14404725840654348
344,0.07275573058669091
345,0.08053115217610826
346,0.11668181359184086
347,0.07098858931636878
348,0.059981823689790964
349,0.037513884681409676
350,0.048116732303342416
351,0.06366757548217712
352,0.10951226900939111
353,0.08285368070281733
354,0.07053418156114309
355,0.09057861254165406
356,0.11178430778551955
357,0.047965263051600524
358,0.048015752802181164
359,0.019287084721801476
360,0.0967888518630718
361,0.0421084519842472
362,0.08340906795920429
363,0.06947389679894982
364,0.06831263253559527
365,0.12465919418358075
366,0.040593759466828236
367,0.08138947793597899
368,0.11860042411390488
369,0.08916489952539634
370,0.09002322528526709
371,0.08118751893365647
372,0.07103907906694941
373,0.16247601736847422
374,0.10678582247803696
375,0.07780470564475411
376,0.08507522972836515
377,0.0905281227910734
378,0.13031404624861154
379,0.0818438856912047
380,0.09103302029687974
381,0.14849035645763908
382,0.09492073109158841
383,0.0729071998384328
384,0.07235181258204584
385,0.10143390891648997
386,0.10027264465313541
387,0.09618297485610422
388,0.05331717661314754
389,0.06780773502978896
390,0.07366454609714229
391,0.09002322528526709
392,0.07760274664243158
393,0.14192668888215693
394,0.14293648389376956
395,0.15434716752499245
396,0.14732909219428458
397,0.06735332727456328
398,0.07396748460062608
399,0.11632838533777644
400,0.07957184691507624
401,0.08992224578410583
402,0.08633747349288096
403,0.0656871655054024
404,0.08290417045339796
405,0.10042411390487732
406,0.07578511562152883
407,0.1467737049378976
408,0.12173078864990407
409,0.09885893163687771
410,0.06790871453095022
411,0.1286478844794507
412,0.10784610724023024
413,0.11920630112087248
414,0.09204281530849237
415,0.09325456932242755
416,0.06225386246591942
417,0.1432394223972534
418,0.055538725638695344
419,0.1800464505705342
420,0.11314753105119661
421,0.11067353327274564
422,0.12652731495506414
423,0.15737655255983035
424,0.13970513985660915
425,0.1118852872866808
426,0.057406846410178736
427,0.13536302130667477
428,0.09295163081894375
429,0.12369988892254873
430,0.10325153993739271
431,0.18115722508330812
432,0.1508128849843482
433,0.1623245481167323
434,0.12354841967080683
435,0.07528021811572251
436,0.18893264667272547
437,0.0950722003433303
438,0.17827930930021207
439,0.10289811168332828
440,0.14995455922447742
441,0.11127941027971323
442,0.06972634555185298
443,0.09375946682823387
444,0.06992830455417551
445,0.14409774815712412
446,0.19943451479349694
447,0.16010299909118447
448,0.09840452388165204
449,0.05018681207714834
450,0.22069069978794303
451,0.11259214379480965
452,0.11602544683429263
453,0.08411592446733314
454,0.11622740583661519
455,0.1737352317479552
456,0.2009996970614965
457,0.11102696152681006
458,0.18721599515298393
459,0.1475310511966071
460,0.09618297485610422
461,0.08573159648591336
462,0.1932242754720792
463,0.19766737352317482
464,0.12375037867312937
465,0.18650913864485513
466,0.06386953448449965
467,0.05205493284863173
468,0.06346561647985459
469,0.1903463596889831
470,0.05887104917701706
471,0.14414823790770476
472,0.14243158638796327
473,0.2114510754316874
474,0.00307987478541856
475,0.22104412804200746
476,0.13359588003635264
477,0.08992224578410583
478,0.16666666666666669
479,0.15682116530344342
480,0.047005957790568514
481,0.1764616782793093
482,0.09709179036655559
483,0.12223568615571039
484,0.18650913864485513
485,0.1102696152681006
486,0.22897101888316668
487,0.19423407048369185
488,0.2289205291325861
489,0.05377158436837323
490,0.23184893466626277
491,0.06821165303443401
492,0.18701403615066142
493,0.11930728062203373
494,0.20604867211955974
495,0.15682116530344342
496,0.01751994345147935
497,0.0884580430172675
498,0.19963647379581945
499,0.2213470665454913
500,0.08032919317378573
