,Overseas ($mill)
417,0.45691114597404525
418,-0.4849136169187643
419,0.8521847511259496
420,0.13375192969073227
421,0.10718347063388284
422,0.2774384939777757
423,0.6087309120131855
424,0.4189562044642602
425,0.1201965934372376
426,-0.46485171926359226
427,0.37232584775223837
428,-0.08313345036518241
429,0.24707454076994756
430,0.027478093463334106
431,0.8641134470290248
432,0.5382431634950132
433,0.6618678301268843
434,0.24544790041952844
435,-0.2729081579141077
436,0.9476143183505522
437,-0.06036048545931143
438,0.8332072803710571
439,0.023682599312355505
440,0.5290255348426366
441,0.11369003203556022
442,-0.3325516374294843
443,-0.07445803516294586
444,-0.3303827836289251
445,0.46612877462642155
446,1.0603947159796276
447,0.6380104383207339
448,-0.024574397750085384
449,-0.5423882426335817
450,1.2886665784884779
451,0.1277875817391945
452,0.16465809634870004
453,-0.17802080413964508
454,0.16682695014925938
455,0.7844080698584762
456,1.077203332933961
457,0.11097896478486129
458,0.9291790610457993
459,0.5029992892359271
460,-0.04843178955623603
461,-0.16066997373517197
462,0.993702461612434
463,1.041417245224735
464,0.24761675422008747
465,0.9215880727438424
466,-0.3954483976456995
467,-0.5223263449784096
468,-0.39978610524681785
469,0.962796294954466
470,-0.4491275292095384
471,0.46667098807656116
472,0.4482357307718085
473,1.189441517112897
474,-1.0482733916140028
475,1.2924620726394562
476,0.35334837699734584
477,-0.11566625737356961
478,0.7084981868389061
479,0.6027665640616477
480,-0.5765476899923883
481,0.8136875961660246
482,-0.03867194745371996
483,0.23135035071589385
484,0.9215880727438424
485,0.10284576303276448
486,1.3775895843114028
487,1.0045467306152298
488,1.3770473708612632
489,-0.5038910876736569
490,1.4084957509693707
491,-0.34881804093367785
492,0.9270102072452402
493,0.19990197060778617
494,1.1314246779479398
495,0.6027665640616477
496,-0.8932003448740238
497,-0.13139044742762346
498,1.062563569780187
499,1.2957153533402952
500,-0.21868681290012906
501,0.03506908176529115
502,1.4524150404306937
503,1.000751236464251
504,0.4590799997746043
505,0.914539297892025
506,0.14405398524338808
507,1.240409581426037
508,0.8223630113682613
509,1.4675970170346075
510,-0.5049755145739365
511,-0.028369891901063985
512,-0.03433423985260161
513,1.5407958328034788
514,-0.3759287134406672
515,1.0555147949283696
516,1.1888993036627573
517,1.3531899790551123
518,0.9047794557895088
519,-0.46702057306415146
520,0.670543245329121
521,1.646527455580737
522,0.5734870377540994
523,1.0408750317745954
524,0.7816970026077773
525,1.450788400080274
526,-0.41117258769975334
527,0.2096618127103024
528,0.556136207349626
529,1.9371538648556628
530,0.2188794413626787
531,0.5008304354353678
532,1.5782085608631238
533,-0.30056104387123683
534,1.2100456282182088
535,0.5008304354353678
536,1.0511770873272512
537,1.5961016047177372
538,1.5543511690569733
539,1.1222070492955634
540,0.37232584775223837
541,2.546059569362643
542,0.16628473669911947
543,0.7768170815565194
544,1.2463739293775744
545,0.2264704296646359
546,1.018644280318864
547,-0.5608234999383345
548,1.161788631155768
549,2.459847630790417
550,0.7209690961921212
551,2.470691899793213
552,2.4061684992265784
553,0.8885130522853153
554,1.932273943804405
555,1.6308032655266833
556,-0.566787847889872
557,1.6698426339367476
558,1.204623493716811
559,2.093853551946061
560,2.266277429090513
561,2.5357575138099873
562,2.1773544232675883
563,0.9308057013962187
564,0.5496296459479486
565,1.9550469087102755
566,2.2104294437261154
567,3.0270028996366336
568,3.3197981627121185
569,1.2111300551184883
570,2.4126750606282554
571,2.1144576630513727
572,-0.43665661985632326
573,3.024834045836075
574,1.2593870521809296
575,2.178981063618008
576,2.009810467174394
577,1.6790602625891242
578,2.8469880341902245
579,-0.40466602629807596
580,1.6785180491389844
581,1.8281689613775656
582,1.4361486369264997
583,3.0367627417391496
584,2.70655475060402
585,2.1502437507605987
586,3.4005879667829473
587,2.2277802741305885
588,3.6478373000466897
589,-0.7386695115841845
590,3.8723136684045616
591,-0.21760238599984957
592,2.6881194932992676
593,1.6600827918342318
594,4.957282782134274
595,0.00850062270844157
596,3.5182482854632813
597,1.726232832751286
598,2.0624051718379537
